|usefulRound|expectationwhy|stepsA|stepsB|expoFirst|usefulWhy|expectationbinary|usefulBinary|expectationRound|comments
16|[0, 0, 1, -1, -1]|The higher the value the easier to hit goal|[6, 3, 9, 4, 30]|[6, 2, 13, 4, 8]|True|It seemed as though I was able to find the pricing factors easily and get the price within range|-1|-1|[0, 0, 1, -1, -1]|
17|[1, 1, 1, -1, 1]|I feel this.|[29, 12, 17, 12, 10]|[54, 6, 5, 1, 5]|True|I feel this.|1|1|[-1, 1, 1, -1, 1]|Very nice study.
18|[1, 1, 0, -1, -1]|While this one often overestimated things, it still was more accurate than condition A overall and helped me make decisions to get the answer.|[3, 3, 13, 12, 2]|[6, 6, 2, 1, 1]|False|It helped me get to the right answer easily|-1|-1|[1, 1, 1, -1, 1]|"I think using the explanation is confusing. That sounds like there is some kind of written language for the conditions so I thought I missed something. You should just use ""what condition"" or ""what algorithm"" to make it more clear."
19|[-1, -1, 1, 1, -1]|It was more in line with expected changes.|[2, 13, 21, 5, 6]|[1, 2, 3, 9, 4]|False|I thought it easier to get the desired amount.|-1|1|[-1, -1, 1, 1, -1]|no
20|[0, 0, 0, 0, 0]|Both seemed to match my expectations about the same, which is to say more often than not but sometimes the price change was unpredictable in both conditions.|[3, 4, 5, 3, 3]|[3, 2, 5, 2, 6]|False|I didn't notice a significant enough difference to find one more useful than the other.|0|0|[0, 0, 0, 0, 0]|No, thank you.
21|[0, 0, 0, 0, 0]|They both seemed to act independent at times.|[2, 9, 4, 6, 7]|[2, 3, 19, 2, 1]|True|I didn't find the explanations to be useful.|0|0|[0, 0, 0, 0, 0]|
22|[-1, -1, -1, -1, -1]|good|[6, 61, 60, 10, 196]|[186, 266, 90, 2, 9]|True|useful to allocate|-1|-1|[1, 1, 1, 1, -1]|i would like to work on this experiment
23|[0, 0, 0, 0, 0]|na|[186, 29, 15, 20, 6]|[41, 1, 35, 18, 1]|False|na|0|0|[0, 0, 0, 0, 0]|na
24|[1, 1, 1, 1, 1]|yes very useful|[2, 3, 8, 18, 2]|[6, 2, 20, 4, 2]|False|yes very useful|-1|1|[-1, -1, -1, 1, 1]|n/a
25|[-1, -1, -1, -1, -1]|the price changing|[22, 6, 5, 4, 5]|[6, 10, 7, 1, 8]|True|Had good value|1|-1|[-1, -1, -1, -1, -1]|
26|[-1, 1, 1, -1, 1]|easy task and quickly answer|[20, 23, 7, 3, 2]|[6, 50, 3, 1, 13]|True|easy task|-1|1|[-1, 1, -1, 1, -1]|n/a
27|[0, 1, 1, 1, 1]|When I made my selections, it seemed to make the changes I expected so I was able to reach the goal in the least amount of time and effort.|[14, 2, 8, 11, 7]|[3, 15, 9, 6, 20]|True|It seemed to do what I expect more often and helped me reach my goal quicker.|1|1|[0, 1, 1, 1, 1]|This was a bit confusing but interesting.
28|[1, 1, 1, 1, 1]|It changed closer to what It said it would.|[4, 3, 1, 2, 6]|[9, 2, 2, 2, 17]|True|I was able to get where I wanted to go in less steps|1|1|[1, 0, 1, 0, 1]|
29|[1, 1, 1, -1, 1]|Condition B had a tendency to swing wildly and unpredictably. A, on the other hand, only seemed to have small swings.|[2, 1, 4, 14, 3]|[12, 2, 3, 5, 4]|False|Condition A seemed to be much more accurate and would, in more cases, perform as expected.|1|1|[0, 1, 0, -1, 1]|I have nothing further to add at this time.
30|[1, 0, -1, -1, 1]|They both were well behaved at times and not others. I didn't notice any significant difference, but would lean towards A if you made me  pick.|[2, 13, 11, 19, 1]|[2, 4, 5, 6, 4]|False|They both were well behaved at times and not others. I didn't notice any significant difference, but would lean towards A if you made me  pick.|0|0|[1, 0, -1, -1, 1]|I got a little confused twice and didn't notice the sign had flipped so made a few unnecessary moves. 
31|[1, 0, 1, 1, 0]|It was easier to use condition A to determine the price change.|[3, 16, 10, 10, 8]|[16, 5, 102, 156, 5]|False|I felt like they were both useful enough for me to use.|1|0|[-1, 0, 1, 1, 0]|This was very confusing but i tried my best.
32|[0, 1, 1, 1, -1]|IT seemed clearer that the price would change better with a few changes on Condition A.|[3, 12, 2, 13, 7]|[3, 19, 5, 14, 12]|True|IT seemed to focus on items that may be of most important.|1|1|[0, 1, 1, 1, -1]|It was interesting, not sure how it all works, but liked the task.  Thank you.
33|[0, 1, 0, 1, 1]|Just seemed to run more true than Condition B|[8, 5, 5, 2, 5]|[10, 5, 5, 3, 5]|True|Seemed faster to get to the target most of the time|1|1|[0, 1, 0, 1, 1]|None
34|[0, 0, 0, 0, 0]|They were both about the same.|[26, 15, 4, 7, 6]|[4, 5, 5, 11, 2]|False|I couldn't notice any difference between the two.|0|0|[0, 0, 0, 0, 0]|
35|[0, 0, -1, 0, 0]|Didn't notice any differences|[16, 13, 20, 5, 13]|[35, 41, 18, 19, 14]|False|Didn't notice any differences|0|0|[0, 0, 1, 0, 0]|
36|[-1, 1, 1, 0, 1]|Overall, Condition A had more instances where the numbers I clicked went up or down in a somewhat understandable and definable way. Condition B tended to feel a little backwards at times with increases leading to negative values. |[10, 4, 2, 5, 4]|[4, 11, 8, 3, 5]|True|More often than not, Condition A was the fastest one to complete and the most straight forward. I didn't have to complete a bunch of clicks in order to reach my goal. Or if I did, I usually had to do just as many on B, and sometimes more.|1|1|[0, 1, 0, 0, 1]|I felt like the two conditions weren't all that far off, but I wanted to provide a solid winner here. Based on my experiences I just felt Condition A to be the better option despite some issues with it. Sometimes the two shared the same frustrations or positive qualities, but overall, after assessing them on the whole, I felt like I had an easier time with Condition A, thus my answers!
37|[-1, -1, -1, 0, -1]|The amount that changed seemed to be better and closer to the amount it originally thought it would be. |[9, 9, 9, 2, 4]|[5, 1, 4, 1, 3]|False|The prices seemed to match closer to what it forecasted.|-1|-1|[-1, -1, -1, 1, -1]|
38|[0, 1, 0, 0, 0]|It worked out better|[7, 31, 4, 40, 6]|[12, 5, 13, 25, 14]|False|It changed better|1|1|[0, -1, 0, 0, 0]|Thank you
39|[0, 0, -1, -1, -1]|I really couldn't make a lot of sense out of either condition to create an expectation of what a change would do to the price. |[3, 8, 13, 9, 23]|[4, 2, 10, 9, 2]|False|It seems a little easier to hit the target with condition B, took less trial and error I think.|0|-1|[0, 0, 0, 0, -1]|
40|[0, 0, 0, 1, 1]|Again, not enough information is available to make changing the conditions useful.|[17, 16, 4, 7, 8]|[3, 5, 17, 29, 4]|True|There wasn't enough of an explanation to make any significant difference in the conditions.|0|0|[0, 0, 0, 1, 0]|Yes. Provide information on exactly what aspects of the house I'm changing.
41|[0, 0, 0, 1, 0]|It was hard to see a pattern.|[9, 24, 2, 1, 26]|[3, 2, 2, 17, 9]|False|They seemed to similar to declare one more usefull than the other.|0|0|[0, 0, 0, -1, 0]|nope
42|[0, 0, 0, 0, 0]|Just watching the ranges change seem to make more sense.|[8, 8, 8, 4, 5]|[4, 24, 10, 11, 11]|True|Condition B|-1|0|[0, -1, 0, 0, 0]|
43|[0, 1, 1, 1, 1]|B was helpful, but not as much as A, and B was harder for me to get personally.|[13, 8, 17, 6, 8]|[1, 2, 7, 7, 4]|False|It was easier for me to get most of the time compared to B.|1|1|[0, -1, 0, 1, 0]|Thank you for letting em take this!
44|[1, 1, -1, 1, -1]|This condition to me seem more realistic.|[5, 4, 3, 3, 2]|[1, 8, 3, 5, 3]|True|I feel its more easier to predict|1|1|[-1, 1, 1, 1, 1]|This is an interesting study.
45|[-1, 1, 1, 1, 1]|The range felt smaller and i was less likely negative when i expected a positive numbers and vise versa|[3, 4, 1, 2, 5]|[2, 9, 2, 13, 3]|True|I think seeing as it overall took me less moves to complete the assignment with A it must be better.|1|1|[1, 1, 0, 1, 1]|
46|[1, -1, 0, 1, 1]|It would move the way I thought it would more often.|[4, 8, 5, 2, 3]|[4, 2, 5, 11, 14]|True|Was just much easier for me. Condition B gave me more trouble each time because of how the values were so variable.|1|1|[-1, -1, 0, 1, 1]|
47|[1, -1, 0, 0, -1]|stayed stable|[1, 7, 4, 3, 12]|[4, 1, 4, 3, 2]|False|condition a changed after selecting|-1|-1|[0, -1, 0, 0, -1]|
48|[1, 1, -1, -1, -1]|I feel that this one was the easiest to achieve my goals out of the two.|[17, 10, 15, 54, 27]|[207, 6, 4, 55, 1]|True|It was considerably more consistent.|1|-1|[1, 1, -1, 1, 1]|A bit confusing, but I got the hang of it.
49|[1, 1, 1, 1, 0]|That explanation makes more sense with how I problem solve|[5, 6, 8, 12, 7]|[4, 7, 4, 16, 2]|False|It made the task easier to achieve.|1|1|[0, -1, -1, 1, 1]|
50|[-1, 1, 1, 0, 1]|It seemed to change more in line with what it said it would.|[26, 10, 2, 3, 13]|[6, 19, 9, 4, 26]|True|It was more straightforward.|1|1|[-1, 1, 1, 0, 1]|
51|[1, 1, -1, 0, 0]|I dont know|[2, 7, 59, 26, 22]|[5, 2, 3, 397, 6, 19]|False|I dont know|1|-1|[-1, -1, 1, 0, 0]|
52|[-1, 1, 1, -1, 1]|easy task and quickly answer|[20, 23, 7, 3, 2]|[6, 50, 3, 1, 13]|True|easy task|-1|1|[-1, 1, -1, 1, -1]|n/a
53|[0, 1, -1, -1, 0]|i think they both did equally a good job overall to be quite honest.|[46, 4, 13, 25, 17]|[16, 3, 2, 11, 4]|False|did not really notice a groundbreaking difference between the two|0|0|[0, 1, -1, -1, 0]|
54|[1, -1, 0, -1, -1]|It is easier to navigate and understand influence of each factor. I spent less time to reach my goals|[19, 42, 4, 9, 19]|[8, 43, 1, 7, 3]|True|It is easier to navigate and understand influence of each factor|1|1|[1, -1, 0, -1, -1]|
55|[0, 0, 0, 0, -1]|Condition B was more consistent.|[9, 5, 2, 6, 15]|[7, 2, 10, 5, 6]|False|Condition B was more accurate.|-1|-1|[0, 0, -1, 0, -1]|
56|[-1, -1, 0, 0, -1]|Condition b's conclusion was always reached faster|[11, 126, 20, 11, 8]|[8, 18, 3, 10, 3]|False|I always came to the conclusion faster with condition b|-1|-1|[0, -1, -1, -1, -1]|
57|[0, 0, 0, 0, 0]|I just used math and picked whatever was closer to the difference.|[14, 2, 3, 3, 5]|[8, 2, 6, 4, 3]|True|I just used math and picked whatever was closer to the difference.|0|0|[0, 0, 0, 0, 0]|
58|[-1, 0, 1, 1, -1]|The expectations differed to me each round.|[5, 2, 2, 3, 10]|[3, 1, 3, 7, 3]|False|They were both similar.|0|0|[-1, 0, 1, 1, -1]|
59|[0, -1, -1, 1, 0]|It seemed to fluctuate, and I didn't feel one was better than the other overall.|[7, 7, 11, 5, 8]|[1, 1, 12, 11, 3]|False|It seemed to be easier to understand the breakdown and achieve the target with that breakdown.|0|-1|[0, 0, -1, 1, 0]|This was an interesting survey
